Hotel,Brand,Destination,Current Category,Current Standard Price,New Category,New Standard Price
Fairfield Inn & Suites Minneapolis-St. Paul Airport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Monaca,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Montgomery Airport South,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Moses Lake,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Mount Vernon Rend Lake,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites Mt. Pleasant,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Muskogee,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Napa American Canyon,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Nashville Downtown/The Gulch,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites Nashville Hendersonville,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites Nashville Smyrna,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites Natchitoches,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites New Braunfels,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites New Orleans Downtown/French Quarter Area,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Manhattan/Central Park,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Manhattan/Chelsea,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Manhattan/Downtown East,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites New York Manhattan/Fifth Avenue,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Manhattan/Times Square,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Manhattan/Times Square South,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites Niagara Falls,Fairfield Inn,USA,5,35000,4,25000
Fairfield Inn & Suites Norman,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites North Bergen,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Ocean City,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites Odessa,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Oklahoma City Quail Springs/South Edmond,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Olean,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Omaha Northwest,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Omaha West,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Orlando East/UCF Area,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Orlando International Drive/Convention Center,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites Orlando Lake Buena Vista,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites Palm Coast I-95,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Panama City Beach,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Peoria East,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Philadelphia Broomall/Newtown Square,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Philadelphia Downtown/Center City,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Philadelphia Valley Forge/Great Valley,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Philadelphia Willow Grove,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Phoenix Tempe/Airport,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Pittsburgh North/McCandless Crossing,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Plainville,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Pleasanton,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Plymouth White Mountains,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Portsmouth Exeter,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Quantico Stafford,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Raleigh Capital Blvd./I-540,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Raleigh Cary,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Raleigh-Durham Airport/Brier Creek,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Raleigh-Durham Airport/Research Triangle Park,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Rawlins,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Raynham Middleborough/Plymouth,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Reno Sparks,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Richmond Ashland,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Richmond Short Pump/I-64,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Riverside Corona/Norco,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Rochester Mayo Clinic Area/Saint Marys,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Rockingham,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Roswell,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Sacramento Elk Grove,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Sacramento Folsom,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Salt Lake City Airport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Salt Lake City Midvale,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites San Angelo,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites San Antonio Airport/North Star Mall,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites San Antonio Alamo Plaza/Convention Center,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites San Antonio Boerne,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites San Antonio Downtown/Market Square,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn & Suites San Antonio NE/Schertz,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites San Antonio North/Stone Oak,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites San Luis Potosi,Fairfield Inn,Mexico,1,7500,2,12500
Fairfield Inn & Suites Santa Cruz - Capitola,Fairfield Inn,USA,5,35000,6,50000
Fairfield Inn & Suites Savannah Downtown/Historic District,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Savannah Midtown,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Scottsbluff,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Seattle Bellevue/Redmond,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Selma Kingsburg,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Sevierville Kodak,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Seymour,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Sheridan,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Sidney,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Sierra Vista,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Slippery Rock,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Smithfield Selma/I-95,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites South Bend Mishawaka,Fairfield Inn,USA,5,35000,4,25000
Fairfield Inn & Suites South Hill I-8,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Spokane Downtown,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Springdale,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Springfield,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Springfield Holyoke,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Springfield Northampton/Amherst,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites St Petersburg North,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites St. Joseph,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites St. Petersburg Clearwater,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Steamboat Springs,Fairfield Inn,USA,4,25000,5,35000
Fairfield Inn & Suites Stevens Point,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Strasburg Shenandoah Valley,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Syracuse Carrier Circle,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Tacoma Puyallup,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Tampa North,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites Tampa Westshore/Airport,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Toledo North,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites Towanda Wysox,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Tulsa Central,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Tulsa Downtown,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Tupelo,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Twin Falls,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Valparaiso,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Van Canton Area,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Verona,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Warner Robins,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Watervliet St. Joseph,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Wausau,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Weatherford,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Weatherford,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Weirton,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Wichita Downtown,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Wichita East,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Wichita Falls Northwest,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Williamsport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn & Suites Wilmington/Wrightsville Beach,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn & Suites Winchester,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn & Suites Winnipeg,Fairfield Inn,Canada,2,12500,1,7500
Fairfield Inn & Suites Winston-Salem Hanes Mall,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn & Suites Yuma,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Albuquerque University Area,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn Amesbury,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn and Suites Rochester East,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Binghamton,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Boston Woburn/Burlington,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn Charlotte Mooresville/Lake Norman,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Charlotte Northlake,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn Concord,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Forsyth Decatur,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn Greensboro Airport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Hays,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn Huntsville,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn Joliet South,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn Kalamazoo West,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Kankakee Bourbonnais,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Kennewick,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Laurel,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn Macon West,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Manchester-Boston Regional Airport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Manhattan,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Mission Viejo Orange County,Fairfield Inn,USA,4,25000,3,17500
Fairfield Inn New Haven Wallingford,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn New York LaGuardia Airport/Astoria,Fairfield Inn,USA,5,35000,4,25000
Fairfield Inn Owensboro,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn Philadelphia Airport,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn Philadelphia Valley Forge/King of Prussia,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Philadelphia West Chester/Exton,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn Port Huron,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Portsmouth Seacoast,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn Princeton,Fairfield Inn,USA,1,7500,2,12500
Fairfield Inn Richmond,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Rochester Airport,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Sacramento Cal Expo,Fairfield Inn,USA,3,17500,4,25000
Fairfield Inn Springfield,Fairfield Inn,USA,2,12500,3,17500
"Fairfield Inn St. Louis Collinsville, IL",Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Tallahassee North/I-10,Fairfield Inn,USA,2,12500,3,17500
Fairfield Inn Topeka,Fairfield Inn,USA,3,17500,2,12500
Fairfield Inn Toronto Oakville,Fairfield Inn,Canada,3,17500,2,12500
Fairfield Inn Tuscaloosa,Fairfield Inn,USA,3,17500,4,25000
Fes Marriott Hotel Jnan Palace,Marriott,Morocco,3,17500,2,12500
Four Points by Sheraton Anaheim,Four Points,USA,4,25000,5,35000
Four Points by Sheraton Asheville Downtown,Four Points,USA,4,25000,5,35000
Four Points by Sheraton Auckland,Four Points,New Zealand,4,25000,5,35000
Four Points by Sheraton Bakersfield,Four Points,USA,2,12500,1,7500
"Four Points by Sheraton Bali, Ungasan",Four Points,Indonesia,4,25000,2,12500
Four Points by Sheraton Barcelona Diagonal,Four Points,Spain,4,25000,5,35000
Four Points by Sheraton Barranquilla,Four Points,Colombia,1,7500,2,12500
Four Points by Sheraton Bogota,Four Points,Colombia,1,7500,2,12500
Four Points by Sheraton Boston Logan Airport Revere,Four Points,USA,5,35000,4,25000
Four Points by Sheraton Calgary Airport,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Charlotte,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Charlotte - Pineville,Four Points,USA,3,17500,2,12500
"Four Points by Sheraton Chengdu, Pujiang Resort",Four Points,China,1,7500,2,12500
Four Points by Sheraton Chicago O'Hare Airport,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Cincinnati North,Four Points,USA,2,12500,3,17500
Four Points by Sheraton Cleveland Airport,Four Points,USA,1,7500,2,12500
Four Points by Sheraton Cocoa Beach,Four Points,USA,4,25000,5,35000
Four Points by Sheraton College Station,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Coral Gables,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Curitiba,Four Points,Brazil,4,25000,3,17500
Four Points by Sheraton Detroit Novi,Four Points,USA,3,17500,2,12500
"Four Points by Sheraton Dhaka, Gulshan",Four Points,Bangladesh,4,25000,3,17500
Four Points by Sheraton Eastham Cape Cod,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Edmonton Gateway,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Edmonton South,Four Points,Canada,2,12500,1,7500
Four Points by Sheraton Edmundston,Four Points,Canada,4,25000,3,17500
Four Points by Sheraton Fargo Medical Center,Four Points,USA,1,7500,2,12500
Four Points by Sheraton French Quarter,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Galerias Monterrey,Four Points,Mexico,1,7500,2,12500
Four Points by Sheraton Galveston,Four Points,USA,4,25000,5,35000
Four Points by Sheraton Grande Prairie,Four Points,Canada,3,17500,2,12500
"Four Points by Sheraton Guangzhou, Dongpu",Four Points,China,2,12500,3,17500
Four Points by Sheraton Hakodate,Four Points,Japan,4,25000,3,17500
"Four Points by Sheraton Hefei, Shushan",Four Points,China,1,7500,2,12500
Four Points by Sheraton Heyuan Resort,Four Points,China,3,17500,4,25000
Four Points by Sheraton Hotel & Conference Centre Gatineau-Ottawa,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Houston Energy Corridor,Four Points,USA,2,12500,1,7500
Four Points by Sheraton Houston Greenway Plaza,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Huntsville Airport,Four Points,USA,1,7500,2,12500
"Four Points by Sheraton Jakarta, Thamrin",Four Points,Indonesia,2,12500,1,7500
Four Points by Sheraton Kecskemet Hotel & Conference Center,Four Points,Hungary,2,12500,1,7500
Four Points by Sheraton Kuwait,Four Points,Kuwait,4,25000,3,17500
Four Points by Sheraton Lagos,Four Points,Nigeria,4,25000,3,17500
Four Points by Sheraton Las Vegas East Flamingo,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Little Rock Midtown,Four Points,USA,1,7500,2,12500
Four Points by Sheraton Ljubljana Mons,Four Points,Slovenia,2,12500,3,17500
Four Points by Sheraton London,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Louisville Airport,Four Points,USA,4,25000,5,35000
Four Points by Sheraton Lévis Convention Centre,Four Points,Canada,4,25000,3,17500
Four Points by Sheraton Mahabalipuram Resort & Convention Center,Four Points,India,1,7500,2,12500
Four Points by Sheraton Manhattan Chelsea,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Manhattan Midtown West,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Memphis - Southwind,Four Points,USA,2,12500,3,17500
"Four Points by Sheraton Mexico City, Colonia Roma",Four Points,Mexico,2,12500,3,17500
Four Points by Sheraton Midland,Four Points,USA,3,17500,4,25000
Four Points by Sheraton Midtown - Times Square,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Milwaukee Airport,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Moncton,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Monterrey Airport,Four Points,Mexico,1,7500,2,12500
Four Points by Sheraton Monterrey Linda Vista,Four Points,Mexico,1,7500,2,12500
Four Points by Sheraton Mount Prospect O’Hare,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Munich Central,Four Points,Germany,5,35000,6,50000
Four Points by Sheraton Nairobi Airport,Four Points,Kenya,3,17500,4,25000
Four Points by Sheraton Nairobi Hurlingham,Four Points,Kenya,4,25000,3,17500
Four Points by Sheraton Nashville Airport,Four Points,USA,4,25000,3,17500
Four Points by Sheraton New York Downtown,Four Points,USA,4,25000,5,35000
Four Points by Sheraton Niagara Falls Fallsview,Four Points,Canada,5,35000,6,50000
Four Points by Sheraton Norwood,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Oran,Four Points,Algeria,3,17500,2,12500
Four Points by Sheraton Orlando International Drive,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Padova,Four Points,Italy,3,17500,2,12500
Four Points by Sheraton Panoramahaus Dornbirn,Four Points,Austria,3,17500,4,25000
Four Points by Sheraton Penghu,Four Points,Taiwan,3,17500,2,12500
Four Points by Sheraton Philadelphia Northeast,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Phoenix North,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Portland East,Four Points,USA,4,25000,3,17500
Four Points by Sheraton Prince George,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Raleigh North,Four Points,USA,3,17500,2,12500
Four Points by Sheraton Riyadh Khaldia,Four Points,Saudi Arabia,2,12500,1,7500
Four Points by Sheraton San Diego Downtown Little Italy,Four Points,USA,4,25000,5,35000
Four Points by Sheraton San Francisco Bay Bridge,Four Points,USA,4,25000,5,35000
"Four Points by Sheraton Seoul, Gangnam",Four Points,South Korea,3,17500,4,25000
Four Points by Sheraton Sherwood Park,Four Points,Canada,2,12500,1,7500
Four Points by Sheraton Srinagar,Four Points,India,1,7500,2,12500
Four Points by Sheraton St. Catharines Niagara Suites,Four Points,Canada,4,25000,3,17500
Four Points by Sheraton Surabaya,Four Points,Indonesia,1,7500,2,12500
"Four Points by Sheraton Surabaya, Pakuwon Indah",Four Points,Indonesia,1,7500,2,12500
Four Points by Sheraton Surrey,Four Points,Canada,4,25000,3,17500
Four Points by Sheraton Toronto Airport,Four Points,Canada,4,25000,3,17500
Four Points by Sheraton Toronto Mississauga,Four Points,Canada,3,17500,2,12500
Four Points by Sheraton Vancouver Airport,Four Points,Canada,4,25000,5,35000
Four Points by Sheraton Virginia Beach Oceanfront,Four Points,USA,5,35000,6,50000
Four Points by Sheraton Williston,Four Points,USA,1,7500,2,12500
Frankfurt Airport Marriott Hotel,Marriott,Germany,4,25000,5,35000
"French Leave Resort, Autograph Collection",Autograph Collection,Bahamas,7,60000,8,85000
Gaithersburg Marriott Washingtonian Center,Marriott,USA,3,17500,4,25000
Gaylord Opryland Resort & Convention Center,Gaylord Hotels,USA,5,35000,6,50000
"Gewandhaus Dresden, Autograph Collection",Autograph Collection,Germany,4,25000,3,17500
"Glass Light Hotel & Gallery, Autograph Collection",Autograph Collection,USA,3,17500,4,25000
Goa Marriott Resort & Spa,Marriott,India,5,35000,6,50000
"Grand Bohemian Hotel Charleston, Autograph Collection",Autograph Collection,USA,6,50000,7,60000
"Grand Bohemian Hotel Mountain Brook, Autograph Collection",Autograph Collection,USA,5,35000,6,50000
Grand Cayman Marriott Beach Resort,Marriott,Cayman Islands,6,50000,7,60000
"Grand Hotel Dei Dogi, The Dedica Anthology, Autograph Collection",Autograph Collection,Italy,6,50000,7,60000
Greensboro-High Point Marriott Airport,Marriott,USA,3,17500,4,25000
"Grosvenor House, a Luxury Collection Hotel, Dubai",Luxury Collection,United Arab Emirates,5,35000,6,50000
Guangzhou Marriott Hotel Tianhe,Marriott,China,4,25000,5,35000
Guyana Marriott Hotel Georgetown,Marriott,Guyana,3,17500,4,25000
"Hacienda Puerta Campeche, a Luxury Collection Hotel, Campeche",Luxury Collection,Mexico,5,35000,6,50000
"Hacienda San Jose, a Luxury Collection Hotel, San Jose",Luxury Collection,Mexico,5,35000,6,50000
"Hacienda Santa Rosa, a Luxury Collection Hotel, Santa Rosa",Luxury Collection,Mexico,5,35000,6,50000
"Hacienda Temozon, a Luxury Collection Hotel, Temozon Sur",Luxury Collection,Mexico,5,35000,6,50000
Hanbury Manor Marriott Hotel & Country Club,Marriott,United Kingdom,4,25000,5,35000
Hangzhou Marriott Hotel Lin'an,Marriott,China,3,17500,2,12500
Hangzhou Marriott Hotel Qianjiang,Marriott,China,3,17500,4,25000
Hartford Marriott Farmington,Marriott,USA,2,12500,3,17500
Heathrow/Windsor Marriott Hotel,Marriott,United Kingdom,4,25000,3,17500
"Hotel & Spa do Vinho, Autograph Collection",Autograph Collection,Brazil,3,17500,2,12500
"Hotel AC Baqueira Ski Resort, Autograph Collection",Autograph Collection,Spain,5,35000,6,50000
"Hotel Adagio, Autograph Collection",Autograph Collection,USA,6,50000,7,60000
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville",Luxury Collection,Spain,7,60000,8,85000
Hotel Arts Barcelona,Ritz-Carlton,Spain,7,60000,8,85000
"Hotel Blackhawk, Autograph Collection",Autograph Collection,USA,5,35000,4,25000
"Hotel Bristol, a Luxury Collection Hotel, Vienna",Luxury Collection,Austria,5,35000,6,50000
"Hotel EMC2, Autograph Collection",Autograph Collection,USA,5,35000,6,50000
"Hotel Imperial, a Luxury Collection Hotel, Vienna",Luxury Collection,Austria,6,50000,7,60000
"Hotel Ivy, a Luxury Collection Hotel, Minneapolis",Luxury Collection,USA,5,35000,6,50000
Hotel Knoxville,Delta,USA,4,25000,3,17500
"Hotel Maria Cristina, a Luxury Collection Hotel, San Sebastian",Luxury Collection,Spain,7,60000,8,85000
"Hotel Nia, Autograph Collection",Autograph Collection,USA,5,35000,6,50000
"Hotel Nordport Plaza, Hamburg-Airport, a Tribute Portfolio Hotel",Tribute Portfolio,Germany,4,25000,3,17500
"Hotel Palacio del Carmen, Autograph Collection",Autograph Collection,Spain,4,25000,3,17500
"Hotel Palacio Del Retiro, Autograph Collection",Autograph Collection,Spain,6,50000,7,60000
"Hotel Paradox, Autograph Collection",Autograph Collection,USA,5,35000,6,50000
"Hotel Park City, Autograph Collection",Autograph Collection,USA,6,50000,7,60000
"HOTEL PASEO, Autograph Collection",Autograph Collection,USA,5,35000,6,50000
"Hotel President Wilson, a Luxury Collection Hotel, Geneva",Luxury Collection,Switzerland,8,85000,7,60000
"Hotel Punta Islita, Autograph Collection",Autograph Collection,Costa Rica,5,35000,6,50000
"Hotel PUR, Quebec, a Tribute Portfolio Hotel",Tribute Portfolio,Canada,5,35000,4,25000
"Hotel Republic San Diego, Autograph Collection",Autograph Collection,USA,6,50000,5,35000
"Hotel Santo Mauro, Autograph Collection",Autograph Collection,Spain,6,50000,7,60000
"Hotel Stripes Kuala Lumpur, Autograph Collection",Autograph Collection,Malaysia,3,17500,2,12500
"Hotel Zachary, Chicago, a Tribute Portfolio Hotel",Tribute Portfolio,USA,5,35000,6,50000
Houston Marriott West Loop by The Galleria,Marriott,USA,4,25000,3,17500
Hua Hin Marriott Resort & Spa,Marriott,Thailand,4,25000,5,35000
Indianapolis Marriott Downtown,Marriott,USA,4,25000,5,35000
Intourist Hotel Baku Autograph Collection,Autograph Collection,Azerbaijan,2,12500,3,17500
Istanbul Marriott Hotel Sisli,Marriott,Turkey,3,17500,4,25000
"ITC Grand Bharat, a Luxury Collection Retreat, Gurgaon, New Delhi Capital Region",Luxury Collection,India,7,60000,6,50000
"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Luxury Collection,India,2,12500,1,7500
"ITC Maurya, a Luxury Collection Hotel, New Delhi",Luxury Collection,India,5,35000,4,25000
"ITC Mughal, a Luxury Collection Resort & Spa, Agra",Luxury Collection,India,2,12500,3,17500
"ITC Sonar, a Luxury Collection Hotel, Kolkata",Luxury Collection,India,2,12500,3,17500
Ithaca Marriott Downtown on the Commons,Marriott,USA,5,35000,6,50000
"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center",Marriott,Mexico,4,25000,3,17500
"Jabal Omar Marriott Hotel, Makkah",Marriott,Saudi Arabia,5,35000,6,50000
Jaisalmer Marriott Resort & Spa,Marriott,India,2,12500,3,17500
Jeju Shinhwa World Marriott Resort,Marriott,South Korea,6,50000,5,35000
Jixian Marriott Hotel,Marriott,China,3,17500,2,12500
JW Marriott Absheron Baku,JW Marriott,Azerbaijan,3,17500,4,25000
JW Marriott Cannes,JW Marriott,France,6,50000,7,60000
JW Marriott Chicago,JW Marriott,USA,5,35000,6,50000
JW Marriott El Convento Cusco,JW Marriott,Peru,5,35000,6,50000
JW Marriott Guanacaste Resort & Spa,JW Marriott,Costa Rica,5,35000,6,50000
JW Marriott Hotel Bogota,JW Marriott,Colombia,4,25000,5,35000
JW Marriott Hotel Chengdu,JW Marriott,China,3,17500,4,25000
JW Marriott Hotel Jakarta,JW Marriott,Indonesia,4,25000,3,17500
